air_durations_A,air_durations_B,air_durations_C,air_durations_D,asc_peak_slopes_A,asc_peak_slopes_B,asc_peak_slopes_C,asc_peak_slopes_D,avg_pres_A,avg_pres_B,avg_pres_C,avg_pres_D,contact_durations_A,contact_durations_B,contact_durations_C,contact_durations_D,des_peak_slopes_A,des_peak_slopes_B,des_peak_slopes_C,des_peak_slopes_D,dog_id,pace,paw_area_cm2_A,paw_area_cm2_B,paw_area_cm2_C,paw_area_cm2_D,peak_pressure_A,peak_pressure_B,peak_pressure_C,peak_pressure_D,ratio_pres2area_A,ratio_pres2area_B,ratio_pres2area_C,ratio_pres2area_D,step_lengths_A,step_lengths_B,step_lengths_C,step_lengths_D
0.215,0.212,0.21,0.208,2.418,3.316,4.567,3.942,9.925,14.659,14.097,13.912,0.185,0.195,0.208,0.185,4.428,8.322,5.749,6.136,T0400193,6.14,18.31,29.076,27.346,27.618,43.0,98.6,109.0,72.2,0.506,0.448,0.488,0.446,0.862,1.05,0.856,0.844
0.23,0.232,0.225,0.24,3.814,3.094,2.95,3.664,12.476,12.127,11.504,10.91,0.175,0.19,0.175,0.178,2.709,3.306,2.653,2.572,T0401196,5.6,19.839,20.18,15.985,16.181,56.05,63.1,49.1,44.7,0.622,0.584,0.72,0.607,1.127,1.088,0.788,0.668
0.225,0.23,0.225,0.232,3.239,3.436,3.536,3.284,12.726,11.744,12.69,12.916,0.192,0.188,0.2,0.2,2.803,2.569,2.417,2.583,T0401196,4.96,18.54,18.582,19.261,20.32,54.35,56.95,53.45,57.8,0.622,0.588,0.659,0.551,0.343,1.029,0.365,0.722
0.262,0.225,0.215,0.235,1.95,2.112,3.998,2.208,10.201,12.963,11.218,12.333,0.22,0.225,0.212,0.225,2.127,3.035,1.866,2.399,T0401196,4.07,16.035,21.796,17.249,21.324,40.3,56.1,49.95,48.2,0.66,0.746,0.562,0.619,0.631,0.636,0.686,0.577
0.235,0.235,0.232,0.24,3.862,2.75,3.014,2.862,12.781,12.206,11.536,13.508,0.19,0.19,0.19,0.192,2.489,3.069,2.649,3.436,T0401196,4.87,19.558,19.683,16.351,22.149,66.6,55.2,61.3,62.2,0.584,0.701,0.623,0.585,0.715,0.692,0.883,1.009
0.232,0.232,0.245,0.23,3.257,4.203,3.032,3.289,12.4,13.271,13.369,13.036,0.185,0.19,0.19,0.178,2.981,3.088,3.126,3.593,T0401196,5.42,19.616,22.49,22.892,17.71,56.1,61.3,54.3,62.2,0.656,0.662,0.581,0.758,0.746,0.744,0.918,0.746
0.24,0.23,0.24,0.255,2.905,3.063,2.529,3.056,13.924,12.492,13.23,11.896,0.21,0.205,0.215,0.2,2.27,2.521,2.707,2.38,T0401196,4.66,19.212,19.999,20.632,17.12,53.45,56.95,53.45,53.45,0.669,0.682,0.686,0.681,0.705,0.663,0.644,0.621
0.338,0.338,0.238,0.265,2.765,2.572,2.054,2.534,15.075,14.764,13.455,13.964,0.4,0.4,0.195,0.198,2.232,1.861,2.36,4.448,T0403495,6.18,21.604,22.406,19.622,21.14,67.1,69.3,56.3,60.65,0.555,0.677,0.686,0.646,1.59,1.614,0.883,0.915
0.215,0.235,0.342,0.265,2.355,2.073,2.307,2.547,11.122,10.73,10.352,9.476,0.398,0.29,0.265,0.23,1.946,2.356,1.624,2.092,T0403516,4.78,30.527,32.014,31.108,23.329,69.4,55.0,58.6,52.6,0.316,0.285,0.333,0.33,0.856,1.036,1.078,0.864
0.232,0.198,0.225,0.25,1.892,1.938,1.36,2.153,9.746,11.676,10.012,10.05,0.32,0.345,0.328,0.32,1.22,1.894,1.749,1.489,T0403516,4.05,22.535,31.79,29.632,24.238,46.7,64.6,47.3,53.8,0.387,0.339,0.535,0.384,0.784,0.788,0.796,0.796
0.208,0.21,0.225,0.22,1.907,1.338,1.809,1.475,11.794,9.813,9.686,9.447,0.325,0.325,0.31,0.315,2.047,2.069,1.422,1.524,T0403516,4.14,33.113,30.066,23.656,22.604,62.2,46.7,46.7,45.5,0.342,0.371,0.374,0.388,0.78,0.788,0.796,0.805
0.24,0.24,0.25,0.285,2.201,2.164,2.413,2.519,9.42,10.567,10.778,9.774,0.305,0.295,0.272,0.258,1.519,1.611,2.364,2.032,T0403516,4.61,27.112,27.04,29.487,29.542,46.7,55.6,58.0,61.6,0.451,0.475,0.399,0.452,0.841,1.359,1.347,0.806
0.29,0.3,0.28,0.28,1.032,1.189,1.091,1.181,4.572,4.767,4.608,4.497,0.2,0.195,0.208,0.205,1.234,1.418,1.467,1.363,T0406425,5.68,27.69,29.457,30.346,29.151,24.4,26.65,26.65,26.7,0.168,0.166,0.169,0.159,1.207,0.915,0.966,0.928
0.28,0.28,0.272,0.285,1.119,0.953,0.82,1.472,4.816,3.972,4.11,5.125,0.22,0.228,0.24,0.22,1.341,1.044,1.279,1.577,T0406425,5.04,30.991,25.588,30.495,35.739,26.1,22.5,22.8,28.05,0.13,0.158,0.12,0.147,0.903,0.916,0.888,1.043
0.255,0.24,0.258,0.225,1.011,0.952,1.217,0.682,4.258,4.279,3.995,4.14,0.202,0.24,0.205,0.252,1.165,1.456,1.286,0.819,T0406425,5.25,26.44,32.21,25.428,29.252,20.8,27.2,25.5,17.75,0.16,0.151,0.168,0.142,0.792,0.784,0.818,0.94
0.275,0.26,0.28,0.265,1.25,1.187,1.089,0.901,4.326,4.604,4.392,4.32,0.205,0.198,0.215,0.215,1.435,1.442,1.52,1.586,T0406425,5.98,28.42,31.965,29.628,27.798,27.2,25.0,27.75,26.65,0.14,0.136,0.135,0.148,0.941,1.44,1.44,0.923
0.25,0.25,0.252,0.252,1.277,1.149,1.062,1.138,4.428,4.621,4.189,4.479,0.22,0.202,0.19,0.225,1.46,1.757,1.248,1.292,T0406425,5.74,27.472,29.14,25.573,27.816,29.7,29.45,24.4,26.7,0.178,0.142,0.183,0.149,1.406,1.423,0.72,0.714
0.245,0.26,0.26,0.275,0.669,0.804,0.892,0.867,4.594,4.39,4.68,4.43,0.242,0.22,0.222,0.31,1.019,0.9,0.863,0.763,T0406791,5.1,21.138,20.985,20.383,19.194,19.9,18.8,20.45,21.0,0.22,0.278,0.239,0.211,1.271,0.8,0.839,1.194
0.262,0.285,0.27,0.275,0.809,0.868,0.743,0.776,4.48,4.283,4.437,4.256,0.265,0.225,0.25,0.27,0.706,0.824,0.981,0.734,T0406791,4.52,20.145,18.626,18.854,20.032,21.6,18.0,20.5,19.9,0.234,0.284,0.256,0.231,1.11,0.73,0.738,1.137
0.298,0.5,0.388,0.495,0.781,0.742,0.38,0.395,4.215,4.46,4.483,4.698,0.205,0.35,0.43,0.43,0.94,0.636,0.849,0.965,T0406791,4.94,17.798,19.696,19.676,20.373,19.4,20.75,18.8,19.9,0.237,0.211,0.185,0.25,0.794,1.219,1.432,1.432
0.215,0.17,0.18,0.185,0.579,0.755,0.848,1.045,3.433,4.952,5.201,5.222,0.162,0.222,0.21,0.205,1.065,1.37,1.427,1.179,T0407715,5.27,10.202,26.37,24.756,24.078,11.65,20.75,23.3,21.9,0.367,0.239,0.209,0.229,0.678,0.728,0.934,0.703
0.23,0.188,0.18,0.192,0.759,0.914,1.146,0.968,3.892,4.913,5.406,4.948,0.17,0.21,0.212,0.205,0.882,1.583,1.004,1.183,T0407715,5.59,11.603,26.56,25.065,23.79,13.8,25.5,23.55,21.6,0.273,0.187,0.259,0.175,0.762,0.766,0.772,0.797
0.178,0.23,0.188,0.185,0.934,0.799,1.102,1.113,4.53,3.649,5.174,5.074,0.19,0.158,0.19,0.188,1.864,1.084,1.177,1.237,T0407715,5.93,25.717,10.556,25.788,23.45,22.2,13.85,19.9,22.15,0.163,0.312,0.175,0.196,0.784,0.737,1.001,0.686
0.188,0.225,0.195,0.19,1.03,0.693,0.808,1.292,5.5,3.433,4.818,4.988,0.2,0.155,0.21,0.2,1.539,0.69,1.328,0.993,T0407715,5.58,26.606,10.325,26.795,24.565,26.0,10.5,19.9,22.2,0.237,0.38,0.365,0.23,0.763,0.754,0.771,0.758
0.255,0.255,0.255,0.34,1.418,0.875,1.282,0.93,5.976,4.957,4.886,4.649,0.265,0.338,0.47,0.265,1.467,0.83,0.733,1.12,T0408208,4.54,31.434,24.553,28.132,31.463,40.55,23.75,30.55,28.0,0.185,0.183,0.189,0.144,0.699,0.967,1.0,1.026
0.29,0.495,0.415,0.298,0.941,0.932,1.017,0.97,5.23,5.451,4.794,5.045,0.41,0.31,0.22,0.515,0.806,0.845,0.903,0.583,T0408208,4.73,30.782,30.087,25.764,27.708,31.45,30.3,22.9,25.7,0.203,0.182,0.176,0.225,1.332,1.558,1.378,1.099
0.41,0.24,0.395,0.227,1.5,1.442,1.493,1.445,7.097,6.54,7.354,7.103,0.372,0.178,0.212,0.205,0.981,1.202,1.863,1.206,T0410495,4.46,21.856,17.059,22.599,20.906,35.9,26.1,31.55,30.5,0.356,0.464,0.416,0.374,0.872,0.839,0.857,0.874
0.215,0.21,0.215,0.23,1.657,1.397,1.373,1.543,6.632,6.947,6.411,7.165,0.208,0.198,0.195,0.21,1.346,1.698,1.252,1.593,T0410495,4.27,21.607,20.89,16.451,23.535,38.65,25.0,25.0,38.1,0.29,0.379,0.316,0.315,0.834,0.263,0.69,0.823
0.21,0.205,0.22,0.22,1.488,1.649,1.5,1.508,6.291,7.15,6.936,7.109,0.165,0.19,0.192,0.195,1.682,1.76,1.342,1.589,T0410495,4.76,16.347,22.269,19.98,24.75,23.9,32.1,28.85,31.6,0.364,0.348,0.346,0.287,0.594,0.896,0.898,0.887
0.387,0.445,0.395,0.337,2.183,2.736,2.969,2.137,12.881,12.986,13.761,12.673,0.555,0.472,0.325,0.58,1.6,1.46,1.84,0.961,T0412790,4.89,31.627,35.596,36.281,35.627,75.6,79.1,79.8,78.4,0.402,0.367,0.367,0.422,1.376,1.838,1.134,1.612
0.265,0.285,0.28,0.31,0.671,0.642,0.769,0.869,3.854,3.855,4.02,4.1,0.27,0.265,0.27,0.24,0.861,0.897,0.877,1.03,T0413132,4.81,27.38,22.493,21.251,27.045,18.7,17.1,19.8,20.85,0.17,0.162,0.193,0.137,1.019,0.909,0.718,0.986
0.285,0.285,0.315,0.265,1.035,0.89,0.855,0.726,4.542,4.267,3.966,3.899,0.225,0.215,0.22,0.288,1.049,1.121,1.131,0.875,T0413132,5.52,25.438,22.801,25.4,25.685,22.7,23.0,20.3,19.5,0.157,0.148,0.175,0.16,1.533,1.264,0.999,1.101
0.272,0.29,0.275,0.25,0.799,0.725,0.903,0.799,3.804,3.878,4.201,4.116,0.215,0.23,0.232,0.27,0.907,0.892,1.056,1.127,T0413132,5.17,22.177,22.258,27.928,26.551,16.0,17.1,24.8,21.1,0.175,0.178,0.165,0.174,0.886,0.704,0.958,1.118
0.27,0.265,0.275,0.255,0.704,0.843,1.085,1.057,3.835,3.789,4.713,4.473,0.198,0.185,0.218,0.22,1.058,0.988,1.347,1.25,T0413132,5.59,23.372,23.522,30.136,26.277,16.85,15.75,24.55,25.9,0.164,0.163,0.158,0.147,0.982,0.957,1.037,1.042
0.375,0.255,0.28,0.29,0.787,0.86,0.781,0.926,4.184,4.162,3.967,3.953,0.225,0.23,0.212,0.208,0.947,0.938,1.032,1.379,T0413132,5.63,29.984,29.154,23.737,25.146,17.1,17.9,19.5,22.7,0.196,0.17,0.176,0.174,0.962,1.025,0.983,1.05
0.185,0.19,0.18,0.19,1.097,1.136,1.061,1.058,3.497,3.16,3.33,3.575,0.12,0.108,0.115,0.115,1.089,1.191,1.05,1.129,T0414478,4.21,10.618,9.539,9.94,13.522,12.8,10.2,11.3,11.3,0.321,0.402,0.333,0.207,0.382,0.398,0.395,0.415
0.195,0.185,0.19,0.185,0.986,1.056,0.934,0.906,3.224,3.682,3.15,3.281,0.112,0.13,0.125,0.125,0.883,0.912,0.789,0.856,T0414478,3.54,7.642,10.548,7.759,12.376,10.5,12.8,10.5,11.05,0.402,0.386,0.294,0.523,0.366,0.355,0.348,0.358
0.182,0.185,0.195,0.185,0.914,0.878,0.897,0.889,3.445,3.254,3.105,3.292,0.14,0.128,0.135,0.135,0.882,0.876,0.835,0.84,T0414478,3.4,8.337,9.329,8.112,8.658,11.0,10.2,11.0,10.5,0.409,1.285,0.371,0.356,0.292,0.324,0.315,0.254
0.245,0.235,0.24,0.222,1.256,1.034,1.039,0.93,4.768,4.296,5.032,5.079,0.185,0.192,0.18,0.215,1.517,1.751,1.68,1.435,T0414480,6.47,23.745,21.824,24.654,23.56,26.6,24.35,24.05,24.4,0.17,0.175,0.186,0.183,1.281,0.593,1.509,1.007
0.225,0.225,0.215,0.245,0.738,0.712,0.627,0.865,3.933,4.754,5.044,4.13,0.18,0.24,0.252,0.215,0.975,1.445,1.663,1.08,T0414480,5.4,20.74,29.82,30.226,19.944,17.6,22.4,22.7,20.4,0.185,0.151,0.157,0.191,0.864,0.967,0.966,0.922
0.275,0.272,0.235,0.29,0.831,0.949,0.754,0.756,4.472,4.327,4.824,4.73,0.222,0.2,0.255,0.242,1.398,1.287,1.333,1.376,T0414480,5.5,20.774,22.178,27.604,26.163,20.95,21.0,23.8,23.2,0.173,0.214,0.216,0.17,1.503,0.933,0.882,0.898
0.272,0.275,0.275,0.265,5.626,5.051,4.19,5.987,18.034,17.792,19.216,21.667,0.22,0.23,0.23,0.25,4.856,4.959,4.169,5.529,T0419103,5.15,25.468,25.703,26.78,32.475,101.4,113.1,101.4,130.6,0.729,0.654,0.706,0.694,0.885,0.636,0.884,0.885
0.28,0.28,0.275,0.272,4.859,4.376,4.874,4.204,23.141,19.62,22.3,18.0,0.25,0.235,0.265,0.235,6.179,5.838,5.457,5.516,T0419103,4.7,35.184,28.84,35.208,26.594,136.5,126.7,132.6,113.1,0.65,0.613,0.633,0.609,0.876,0.602,0.866,0.878
0.27,0.28,0.285,0.285,5.26,4.097,5.773,4.861,21.621,16.934,20.558,23.487,0.255,0.218,0.245,0.238,4.589,4.97,4.524,8.083,T0419103,4.9,33.734,26.301,29.194,34.754,124.75,84.8,132.6,146.25,0.638,0.663,0.791,0.727,1.357,0.906,0.847,1.34
0.18,0.202,0.195,0.18,0.695,0.519,0.468,0.512,3.181,3.04,1.884,3.316,0.128,0.135,0.095,0.145,0.643,0.721,0.643,0.878,T0424986,5.28,9.304,9.78,3.898,9.58,9.3,9.3,4.7,9.65,0.405,0.398,0.396,0.349,0.517,0.698,0.508,0.661
0.205,0.205,0.185,0.185,0.478,0.495,0.509,0.566,2.322,3.033,2.555,2.672,0.122,0.143,0.145,0.14,0.529,1.373,0.563,0.494,T0424986,4.28,5.886,8.972,7.044,8.616,6.35,8.3,7.0,8.0,0.485,0.356,0.29,0.286,0.457,0.44,0.652,0.403
0.188,0.17,0.175,0.202,0.633,0.811,0.996,0.708,3.228,3.62,3.304,2.013,0.105,0.115,0.105,0.095,0.867,0.958,0.99,0.928,T0424986,6.22,10.504,10.597,9.008,3.335,8.7,10.7,10.35,4.7,0.31,0.293,0.34,0.796,0.666,0.568,0.576,0.546
0.19,0.178,0.198,0.195,0.726,0.726,0.568,0.575,2.761,3.581,3.143,2.697,0.118,0.135,0.125,0.105,0.725,0.695,0.779,0.731,T0424986,5.22,8.453,9.66,9.159,6.938,8.7,9.3,9.3,7.0,0.352,0.344,0.247,0.494,0.498,0.494,0.504,0.263
0.182,0.17,0.195,0.195,0.744,0.595,0.483,0.448,2.737,3.545,3.22,2.232,0.125,0.135,0.148,0.12,0.583,0.713,0.847,0.571,T0424986,4.38,8.179,8.271,8.434,4.034,8.0,8.7,9.65,4.7,0.31,0.34,0.351,0.547,0.462,0.462,0.392,0.374
0.185,0.17,0.19,0.205,0.837,0.68,0.522,0.608,2.913,3.614,2.454,2.436,0.11,0.115,0.115,0.103,0.832,0.987,0.696,0.746,T0424986,5.37,9.26,9.786,6.382,6.378,8.65,10.35,7.3,6.35,0.33,0.386,0.354,0.415,0.543,0.543,0.451,0.466
0.185,0.19,0.175,0.18,0.57,0.704,0.952,0.915,2.204,3.541,3.412,2.772,0.082,0.11,0.11,0.11,0.741,0.851,0.868,0.719,T0424986,6.35,3.834,10.337,9.112,8.293,3.65,9.3,9.65,8.7,0.413,0.313,0.309,0.359,0.542,0.58,0.509,0.681
0.18,0.18,0.195,0.17,1.005,0.607,0.78,0.82,2.859,3.269,1.689,3.392,0.1,0.112,0.085,0.12,0.841,1.026,0.628,1.067,T0424986,6.54,9.392,9.668,3.482,10.004,8.7,9.3,3.35,10.7,0.304,0.405,1.269,0.45,0.556,0.522,0.492,0.558
0.185,0.17,0.185,0.19,0.985,0.941,0.669,0.578,2.94,3.05,3.48,1.91,0.1,0.11,0.11,0.09,0.795,0.747,1.011,0.8,T0424986,6.18,8.511,7.787,9.964,4.322,9.65,8.7,10.7,4.65,0.363,0.33,0.371,0.417,0.534,0.558,0.667,0.525
0.18,0.175,0.205,0.2,0.631,0.776,0.711,1.126,3.287,3.315,1.992,3.208,0.125,0.115,0.112,0.112,0.857,0.808,0.673,0.804,T0424986,5.41,9.031,10.26,6.416,9.096,10.0,8.7,5.7,10.35,0.532,0.281,0.287,0.261,0.567,0.549,0.538,0.588
0.19,0.17,0.175,0.19,0.582,0.75,0.566,0.49,3.178,3.612,2.694,2.1,0.118,0.125,0.118,0.11,0.749,0.836,0.767,0.644,T0424986,5.39,9.616,9.27,8.239,3.941,9.3,9.65,7.35,5.3,0.284,0.353,0.353,0.446,0.458,0.509,0.517,0.376
0.285,0.298,0.305,0.27,8.231,11.065,10.5,10.614,31.885,29.473,28.465,34.066,0.17,0.145,0.145,0.175,10.192,9.411,8.364,7.318,T0425192,6.61,28.369,18.592,20.712,27.912,145.7,141.5,141.5,147.75,1.103,1.41,1.199,1.247,0.973,0.818,0.977,0.983
0.268,0.27,0.242,0.26,9.083,10.27,8.338,8.54,30.693,30.07,30.523,30.234,0.17,0.152,0.17,0.15,9.507,11.679,11.989,10.956,T0425192,6.78,25.096,23.536,23.862,22.984,141.5,158.15,158.1,145.65,1.979,1.221,1.529,1.129,0.813,0.966,0.932,0.915
0.275,0.255,0.255,0.242,9.479,9.428,9.09,7.464,32.45,29.184,29.248,29.257,0.145,0.158,0.165,0.17,11.37,9.304,11.471,9.851,T0425192,6.03,19.084,24.3,22.648,25.456,166.5,147.75,164.35,145.7,1.711,1.213,1.305,1.372,0.737,1.213,0.87,0.826
0.24,0.24,0.255,0.23,10.49,9.13,8.859,8.727,30.08,28.788,29.618,30.828,0.14,0.15,0.13,0.152,10.724,12.238,11.011,9.848,T0425192,7.53,23.466,26.158,22.1,27.648,139.4,133.2,129.0,139.4,1.646,1.085,1.389,1.129,0.62,0.966,1.016,0.999
0.245,0.225,0.23,0.248,8.886,7.399,5.696,7.878,26.642,29.091,28.529,27.122,0.175,0.19,0.19,0.185,9.2,8.868,8.226,7.284,T0425192,5.87,22.498,25.351,23.842,20.979,145.7,124.8,116.5,133.2,1.084,1.039,1.119,1.274,0.726,0.948,0.747,0.631
0.285,0.285,0.4,0.405,3.548,3.138,3.069,1.966,19.786,18.497,19.246,18.07,0.37,0.24,0.255,0.485,3.734,3.924,3.86,4.662,T0425340,5.26,28.437,26.462,25.7,24.893,106.6,100.7,98.4,89.0,0.679,0.647,0.74,0.766,1.465,0.971,1.208,1.45
0.26,0.275,0.275,0.402,2.846,4.473,3.899,3.646,18.844,18.916,18.885,19.989,0.235,0.23,0.245,0.23,6.2,4.017,3.968,5.809,T0425340,5.31,26.943,23.212,26.119,30.361,89.0,93.7,96.0,107.8,0.724,0.777,0.573,0.625,0.975,1.381,0.972,1.214
0.275,0.265,0.382,0.275,3.477,3.441,3.742,4.28,19.257,18.856,21.161,18.462,0.225,0.225,0.215,0.45,6.623,4.262,5.667,1.551,T0425340,5.66,24.81,24.706,31.0,25.99,101.9,85.5,100.7,101.9,0.789,0.697,0.698,0.731,0.974,1.028,1.487,1.478
0.225,0.235,0.235,0.225,0.442,0.448,0.414,0.448,3.05,2.318,2.879,2.423,0.18,0.18,0.175,0.185,0.824,0.506,0.886,0.655,T0426812,4.76,14.338,11.911,13.959,13.752,10.25,8.0,9.75,9.0,0.22,0.195,0.17,0.211,0.72,0.467,0.901,0.572
0.235,0.26,0.235,0.25,0.506,0.461,0.428,0.487,2.819,2.674,3.002,2.798,0.172,0.165,0.185,0.17,0.754,0.709,0.703,0.841,T0426812,5.1,13.95,11.6,17.206,14.324,10.25,8.5,9.75,10.0,0.227,0.234,0.163,0.24,0.732,0.713,0.709,0.706
0.25,0.255,0.232,0.25,0.432,0.404,0.417,0.433,2.588,2.502,2.913,2.5,0.195,0.218,0.195,0.195,0.501,0.729,0.857,0.489,T0426812,4.02,13.805,12.116,15.311,12.147,8.25,9.5,11.0,9.0,0.237,0.237,0.19,0.162,0.327,0.611,0.576,0.582
0.27,0.24,0.242,0.265,0.481,0.454,0.485,0.521,2.46,3.099,2.909,2.522,0.167,0.188,0.195,0.158,0.619,0.724,0.519,0.655,T0426812,4.95,12.304,15.728,15.117,11.428,8.75,9.75,9.5,9.0,0.178,0.205,0.157,0.212,0.661,0.698,0.848,0.678
0.245,0.26,0.242,0.245,0.401,0.457,0.395,0.439,2.73,2.583,2.803,2.69,0.2,0.182,0.195,0.19,0.597,0.555,0.828,0.726,T0426812,4.49,14.624,12.592,13.291,13.806,9.25,9.0,9.0,9.75,0.203,0.148,0.191,0.186,0.644,0.644,0.653,0.686
0.275,0.272,0.255,0.265,0.42,0.404,0.374,0.416,2.515,2.479,3.223,3.114,0.185,0.18,0.2,0.21,0.648,0.53,0.883,0.666,T0426812,4.43,11.628,11.867,15.123,15.761,8.5,8.0,10.0,9.0,0.218,0.22,0.239,0.208,0.645,0.643,0.644,0.619
0.255,0.3,0.28,0.278,0.739,0.697,0.64,0.676,4.155,4.019,3.984,3.848,0.262,0.248,0.232,0.24,0.546,0.658,0.845,0.643,T0429136,4.63,26.373,25.038,25.819,23.367,18.35,16.4,16.6,14.7,0.163,0.139,0.132,0.161,1.306,0.619,0.449,0.802
0.25,0.25,0.252,0.26,0.738,0.9,0.703,0.823,3.774,4.502,3.692,3.546,0.215,0.215,0.195,0.2,0.829,0.782,0.892,0.752,T0429136,5.58,24.935,27.313,23.287,21.949,17.6,18.1,16.6,15.6,0.212,0.195,0.2,0.194,0.691,0.949,0.961,0.906
0.265,0.26,0.26,0.255,0.683,0.692,0.707,0.737,4.034,3.805,3.516,4.261,0.238,0.24,0.24,0.23,0.749,0.622,0.627,0.77,T0429136,4.16,25.69,22.706,21.957,25.553,16.9,17.1,16.6,17.6,0.14,0.106,0.137,0.156,0.466,0.972,0.607,0.876
0.25,0.26,0.255,0.268,0.753,0.772,0.613,0.658,3.979,3.963,3.574,3.604,0.245,0.222,0.225,0.235,0.645,0.787,0.775,0.626,T0429136,4.7,24.144,24.49,21.297,20.969,18.1,16.85,15.6,15.6,0.193,0.175,0.167,0.172,1.086,0.889,0.644,1.066
0.242,0.24,0.245,0.235,0.81,1.057,0.9,1.011,3.453,4.244,3.468,4.221,0.215,0.2,0.2,0.2,0.947,0.964,0.864,0.945,T0435498,5.6,21.013,25.519,19.817,24.388,13.7,26.3,14.2,22.8,0.141,0.158,0.173,0.165,0.64,0.86,0.916,0.874
0.255,0.25,0.27,0.262,1.485,1.236,0.835,0.939,4.495,4.616,3.681,3.728,0.185,0.185,0.168,0.17,1.389,1.359,0.908,0.93,T0435498,6.4,25.685,25.944,21.983,21.281,25.8,23.3,14.7,16.2,0.198,0.183,0.174,0.185,1.018,1.042,1.0,1.008
0.242,0.25,0.248,0.25,1.082,0.963,1.159,1.129,3.992,3.706,4.218,3.868,0.185,0.185,0.19,0.202,0.923,0.898,1.028,0.958,T0435498,5.81,24.602,21.59,24.356,23.224,17.7,13.45,20.8,20.75,0.136,0.155,0.148,0.17,0.861,1.017,0.741,0.536
0.265,0.262,0.258,0.25,1.166,0.863,1.739,1.067,3.886,3.78,4.686,4.192,0.172,0.165,0.175,0.178,1.077,0.908,1.56,1.432,T0435498,6.66,23.813,20.427,27.166,23.236,19.5,14.2,31.9,20.0,0.178,0.186,0.195,0.16,1.025,1.024,1.047,1.017
0.25,0.245,0.255,0.255,0.938,1.047,1.06,1.078,3.815,4.006,3.955,3.88,0.19,0.18,0.19,0.182,0.907,0.993,1.106,1.016,T0435498,6.24,20.624,24.348,24.02,23.589,14.2,18.5,22.3,18.5,0.206,0.159,0.177,0.156,0.974,0.501,0.98,0.975
0.26,0.24,0.26,0.26,1.81,1.075,0.903,1.401,4.223,3.383,3.748,4.319,0.155,0.178,0.155,0.18,0.904,0.96,1.127,1.124,T0435822,6.66,26.11,21.586,23.712,19.186,19.0,16.65,15.4,20.5,0.107,0.152,0.162,0.13,1.485,0.961,1.169,0.958
0.305,0.312,0.31,0.32,0.871,0.774,0.902,0.789,3.939,3.795,3.995,3.934,0.19,0.21,0.188,0.205,1.342,0.873,0.943,1.178,T0435822,6.18,26.2,25.683,25.455,24.706,19.25,14.9,15.9,18.5,0.159,0.164,0.151,0.131,1.11,1.382,1.088,1.368
0.265,0.238,0.27,0.255,0.818,0.752,0.804,0.856,3.77,4.328,3.406,3.822,0.198,0.215,0.198,0.192,1.139,1.069,0.534,0.893,T0435822,5.79,23.793,26.999,22.544,23.818,17.2,19.0,14.1,16.4,0.151,0.16,0.163,0.148,0.531,0.984,1.0,1.419
0.285,0.272,0.305,0.31,0.881,0.814,0.882,0.81,4.021,4.077,3.494,3.814,0.23,0.2,0.165,0.2,0.808,0.942,0.717,1.013,T0435822,6.26,25.392,27.332,23.974,23.66,18.25,16.4,16.9,17.95,0.164,0.146,0.145,0.17,1.518,0.817,1.288,1.08
0.268,0.255,0.255,0.255,0.76,0.768,0.861,0.767,3.315,3.818,4.188,3.734,0.215,0.21,0.205,0.21,0.818,0.888,0.983,0.827,T0435822,5.7,23.418,26.801,27.304,23.27,13.9,18.0,19.0,16.45,0.14,0.14,0.153,0.156,0.904,0.928,1.016,0.521
0.288,0.26,0.275,0.285,0.993,0.807,0.849,0.802,3.55,3.75,3.946,3.817,0.17,0.202,0.222,0.195,1.05,0.742,0.823,0.893,T0435822,6.17,23.842,23.832,25.367,23.641,19.0,15.65,17.95,15.9,0.179,0.152,0.171,0.163,1.237,0.967,1.444,0.559
0.54,0.54,0.532,0.375,4.72,2.207,2.996,1.737,11.772,11.059,11.972,8.277,0.388,0.493,0.46,0.23,2.276,2.114,1.07,1.65,T0436112,5.75,26.564,34.416,34.201,17.356,100.45,84.55,66.2,27.0,0.483,0.332,0.359,0.628,2.177,2.083,1.836,1.509
0.235,0.305,0.375,0.375,0.855,2.88,3.033,2.946,7.509,12.042,11.776,11.935,0.225,0.35,0.305,0.305,1.667,2.16,3.072,2.344,T0436112,4.86,15.31,30.578,33.13,30.301,28.8,93.75,105.4,80.9,0.533,0.47,0.394,0.318,0.907,0.932,1.624,1.272
0.27,0.42,0.302,0.43,3.477,3.665,3.488,3.068,10.426,13.407,11.055,12.805,0.508,0.255,0.275,0.255,1.559,4.891,1.74,3.092,T0436112,5.21,28.164,32.019,23.453,29.481,125.6,105.4,73.5,77.2,0.523,0.402,0.6,0.54,1.53,1.479,1.264,1.294
0.215,0.208,0.218,0.23,0.544,0.666,0.573,0.569,3.26,2.252,2.501,2.178,0.185,0.18,0.175,0.158,0.76,0.56,0.588,0.443,T0436931,4.5,21.118,17.641,15.489,13.07,11.7,8.2,10.2,7.65,0.177,0.164,0.188,0.183,0.618,0.592,0.56,0.602
0.195,0.208,0.218,0.235,0.568,0.577,0.528,0.573,2.791,3.082,2.944,2.843,0.192,0.175,0.175,0.182,0.595,0.74,0.626,0.634,T0436931,4.53,18.168,17.877,16.03,17.022,11.2,12.8,9.7,10.7,0.123,0.133,0.164,0.146,0.373,0.598,0.564,0.292
